scenario,run_dir,samples,min_budget,max_budget,last_budget,avg_p_frag,max_p_frag
bmin_2_ptarget_0,/home/femu/rocksdb/experiments/M2/results/20260429-052804-budget-sensitivity/bmin_2_ptarget_0/budget_on/run_1,13,6,12,6,0.507782,0.550852
bmin_2_ptarget_0p5,/home/femu/rocksdb/experiments/M2/results/20260429-052804-budget-sensitivity/bmin_2_ptarget_0p5/budget_on/run_1,13,5,12,5,0.530591,0.559969
bmin_6_ptarget_0,/home/femu/rocksdb/experiments/M2/results/20260429-052804-budget-sensitivity/bmin_6_ptarget_0/budget_on/run_1,13,6,12,6,0.512558,0.549963
bmin_6_ptarget_0p5,/home/femu/rocksdb/experiments/M2/results/20260429-052804-budget-sensitivity/bmin_6_ptarget_0p5/budget_on/run_1,14,5,12,5,0.522496,0.550159
