run_dir,samples,min_budget,max_budget,last_budget,avg_p_frag,max_p_frag
experiments\M2\results\20260429-020219\budget_on\run_1,18,2,12,2,0.526793,0.555134
experiments\M2\results\20260429-020219\budget_on\run_2,17,3,12,3,0.515638,0.551590
experiments\M2\results\20260429-020219\budget_on\run_3,18,2,12,2,0.527027,0.562305
