zone_id,valid_bytes,valid_ratio,invalid_bytes,zvdr_ema,rbd,fragment_class,lifetime_class
0,0,0,268435456,0,0,0,0
1,0,0,268435456,0,0,0,0
2,0,0,268435456,0,0,0,0
3,123073,0.000458483,268312383,1.4013e-45,0.599725,1,0
4,7317,2.72579e-05,268428139,0,0.599984,1,0
5,200201491,0.745809,68233965,2.15404e-06,0.152516,2,0
6,67433119,0.251208,201002337,1.4013e-45,0.449275,1,0
7,134866205,0.502416,133569251,1.4013e-45,0.298551,0,0
8,175223616,0.652759,93211840,1.4013e-45,0.208345,0,0
9,67433084,0.251208,201002372,1.4013e-45,0.449275,1,0
10,220606563,0.821823,47828893,1.4013e-45,0.106906,0,0
11,268434220,0.999995,1236,0,2.76268e-06,0,0
12,112433466,0.418847,156001990,1.4013e-45,0.348692,1,0
13,62212224,0.231759,206223232,1.4013e-45,0.460945,1,0
14,67433090,0.251208,201002366,1.4013e-45,0.449275,1,0
15,256293271,0.954767,12142185,1.4013e-45,0.0271399,0,0
16,62072608,0.231238,206362848,1.4013e-45,0.461257,1,0
17,69774507,0.25993,198660949,1.4013e-45,0.444042,1,0
18,72242263,0.269123,196193193,1.4013e-45,0.438526,1,0
19,80872209,0.301272,187563247,6.47123e-12,0.419237,3,0
20,189838623,0.707204,78596833,1.4013e-45,0.175678,0,0
21,268433593,0.999993,1863,0,4.16413e-06,0,0
22,268433818,0.999994,1638,0,3.66122e-06,0,0
23,47551560,0.177143,220883896,1.4013e-45,0.493714,1,0
24,69785685,0.259972,198649771,1.4013e-45,0.444017,1,0
25,102766792,0.382836,165668664,1.4316e-06,0.370299,3,0
26,33070617,0.123198,235364839,1.4013e-45,0.526081,1,0
27,67433111,0.251208,201002345,1.4013e-45,0.449275,1,0
28,268434422,0.999996,1034,0,2.31117e-06,0,0
29,268433905,0.999994,1551,0,3.46676e-06,0,0
30,182822790,0.681068,85612666,1.4013e-45,0.191359,0,0
31,143993844,0.536419,124441612,2.11563e-29,0.278149,0,0
32,222061574,0.827244,46373882,2.62111e-11,0.103654,2,0
33,97978547,0.364999,170456909,3.36508e-07,0.381001,3,0
34,78321877,0.291772,190113579,1.4013e-45,0.424937,1,0
35,268434091,0.999995,1365,0,3.05101e-06,0,0
36,181929218,0.677739,86506238,1.00879e-08,0.193357,2,0
37,20370077,0.0758845,248065379,1.4013e-45,0.554469,1,0
38,62293722,0.232062,206141734,9.37623e-11,0.460763,3,0
39,17184376,0.0640168,251251080,1.4013e-45,0.56159,1,0
40,135993100,0.506614,132442356,3.35078e-31,0.296032,0,0
41,71618737,0.266801,196816719,1.4013e-45,0.43992,1,0
42,70691973,0.263348,197743483,1.4013e-45,0.441991,1,0
43,259517503,0.966778,8917953,1.4013e-45,0.0199332,0,0
44,268433535,0.999993,1921,0,4.29377e-06,0,0
45,103986502,0.38738,164448954,1.4013e-45,0.367572,1,0
46,136937940,0.510134,131497516,1.4013e-45,0.29392,0,0
47,110177271,0.410442,158258185,1.06599e-08,0.353735,3,0
48,139455462,0.519512,128979994,0,0.288293,0,0
49,118865166,0.442807,149570290,4.07895e-08,0.334316,3,0
50,175019119,0.651997,93416337,1.4013e-45,0.208802,0,0
51,268433053,0.999991,2403,0,5.37112e-06,0,0
52,135172795,0.503558,133262661,2.46094e-09,0.297865,2,0
53,115874908,0.431668,152560548,0,0.340999,1,0
54,0,0,268435456,0,0,0,0
55,0,0,268435456,0,0,0,0
56,0,0,268435456,0,0,0,0
57,0,0,268435456,0,0,0,0
58,0,0,268435456,0,0,0,0
59,169530663,0.631551,98904793,2.86545e-08,0.221069,2,0
60,248908141,0.927255,19527315,1.03602e-07,0.043647,2,0
61,161330222,0.601002,107105234,3.09897e-07,0.239399,2,0
62,0,0,268435456,0,0,0,0
63,0,0,268435456,0,0,0,0
64,0,0,268435456,0,0,0,0
65,0,0,268435456,0,0,0,0
66,0,0,268435456,0,0,0,0
67,0,0,268435456,0,0,0,0
68,0,0,268435456,0,0,0,0
69,0,0,268435456,0,0,0,0
70,0,0,268435456,0,0,0,0
71,0,0,268435456,0,0,0,0
72,0,0,268435456,0,0,0,0
73,0,0,268435456,0,0,0,0
74,0,0,268435456,0,0,0,0
75,0,0,268435456,0,0,0,0
76,0,0,268435456,0,0,0,0
77,0,0,268435456,0,0,0,0
78,0,0,268435456,0,0,0,0
