now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777440887869595,12,0.453432798,0.48076117,0.599983692,0,8
1777440897870137,11,0.545580208,0.568301201,0.599995434,0,8
1777440907870370,11,0.522913337,0.546767712,0.599983692,0,8
1777440917870549,11,0.51067102,0.535137475,0.599983692,0,8
1777440927870753,10,0.49941656,0.524445772,0.599983692,0,8
1777440937870910,10,0.550158858,0.572650909,0.599983692,0,8
1777440947871054,9,0.541310966,0.564245403,0.599983692,0,8
1777440957871247,9,0.531833231,0.555241585,0.599983692,0,8
1777440967871432,8,0.511699617,0.536114633,0.599983692,0,8
1777440977871596,7,0.550127923,0.572621584,0.599983692,0,8
1777440987871827,7,0.544268072,0.567054689,0.599983692,0,8
1777440997872026,6,0.522703707,0.546568513,0.599983692,0,8
1777441007872287,6,0.523228526,0.547067106,0.599983692,0,8
1777441017872514,5,0.507600665,0.532220662,0.599983692,0,8
