now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777440626793481,12,0.503727496,0.528541148,0.599983692,0,8
1777440636793732,11,0.478195369,0.504285574,0.599983692,0,8
1777440646793895,11,0.536673486,0.559839785,0.600010157,0,8
1777440656794137,11,0.516498268,0.540673375,0.599995434,0,8
1777440666794328,10,0.549010515,0.571559966,0.599983692,0,8
1777440676794465,10,0.547760844,0.57037282,0.599983692,0,8
1777440686794641,9,0.540213764,0.563203037,0.599983692,0,8
1777440696794845,9,0.544446766,0.567224443,0.599983692,0,8
1777440706795121,8,0.549117565,0.571661711,0.599983692,0,8
1777440716795304,7,0.546399176,0.56907922,0.599983692,0,8
1777440726795455,7,0.535619974,0.558838964,0.599983692,0,8
1777440736795679,6,0.559969187,0.581970751,0.599983692,0,8
1777440746795929,5,0.490045846,0.51554352,0.599983692,0,8
