zone_id,valid_bytes,valid_ratio,invalid_bytes,zvdr_ema,rbd,fragment_class,lifetime_class
0,0,0,268435456,0,0,0,0
1,0,0,268435456,0,0,0,0
2,0,0,268435456,0,0,0,0
3,119273,0.000444327,268316183,1.4013e-45,0.599733,1,0
4,7317,2.72579e-05,268428139,0,0.599984,1,0
5,67433107,0.251208,201002349,0,0.449275,1,0
6,67433103,0.251208,201002353,0,0.449275,1,0
7,67433078,0.251208,201002378,0,0.449275,1,0
8,7064777,0.0263183,261370679,0,0.584209,1,0
9,67433083,0.251208,201002373,0,0.449275,1,0
10,37405605,0.139347,231029851,0,0.516392,1,0
11,67433082,0.251208,201002374,0,0.449275,1,0
12,67433115,0.251208,201002341,0,0.449275,1,0
13,67433093,0.251208,201002363,0,0.449275,1,0
14,67433104,0.251208,201002352,0,0.449275,1,0
15,39583123,0.147459,228852333,0,0.511525,1,0
16,67433085,0.251208,201002371,0,0.449275,1,0
17,51998395,0.193709,216437061,0,0.483775,1,0
18,3109,1.15819e-05,268432347,0,0.599993,1,0
19,67433115,0.251208,201002341,0,0.449275,1,0
20,67433079,0.251208,201002377,0,0.449275,1,0
21,67433064,0.251208,201002392,0,0.449275,1,0
22,67433105,0.251208,201002351,0,0.449275,1,0
23,67433105,0.251208,201002351,0,0.449275,1,0
24,67433113,0.251208,201002343,0,0.449275,1,0
25,13128939,0.0489091,255306517,0,0.570655,1,0
26,67433111,0.251208,201002345,0,0.449275,1,0
27,0,0,268435456,0,0,0,0
28,67433107,0.251208,201002349,0,0.449275,1,0
29,67433101,0.251208,201002355,0,0.449275,1,0
30,67433091,0.251208,201002365,0,0.449275,1,0
31,67433102,0.251208,201002354,0,0.449275,1,0
32,30965892,0.115357,237469564,0,0.530786,1,0
33,51636520,0.192361,216798936,0,0.484583,1,0
34,67433115,0.251208,201002341,0,0.449275,1,0
35,67433084,0.251208,201002372,0,0.449275,1,0
36,39425946,0.146873,229009510,0,0.511876,1,0
37,67433076,0.251208,201002380,0,0.449275,1,0
38,130872567,0.487538,137562889,0,0.307477,1,0
39,67433128,0.251208,201002328,2.3991e-07,0.449275,3,0
40,268433579,0.999993,1877,0,4.19542e-06,0,0
41,137832544,0.513466,130602912,1.4013e-45,0.29192,0,0
42,95634055,0.356265,172801401,1.58309e-05,0.386248,3,0
43,191694334,0.714117,76741122,2.41374e-06,0.171531,2,0
44,67433122,0.251208,201002334,1.4013e-45,0.449275,1,0
45,42563500,0.158561,225871956,0,0.504863,1,0
46,43411724,0.161721,225023732,1.4013e-45,0.502967,1,0
47,268434336,0.999996,1120,0,2.5034e-06,0,0
48,261243176,0.973207,7192280,1.4013e-45,0.016076,0,0
49,155684488,0.57997,112750968,1.4013e-45,0.252018,0,0
50,67686543,0.252152,200748913,1.4013e-45,0.448709,1,0
51,67433085,0.251208,201002371,1.4013e-45,0.449275,1,0
52,67433100,0.251208,201002356,1.4013e-45,0.449275,1,0
53,67433118,0.251208,201002338,1.4013e-45,0.449275,1,0
54,67433105,0.251208,201002351,1.4013e-45,0.449275,1,0
55,99485211,0.370611,168950245,1.4013e-45,0.377633,1,0
56,67433124,0.251208,201002332,1.4013e-45,0.449275,1,0
57,67433081,0.251208,201002375,1.4013e-45,0.449275,1,0
58,18064271,0.0672947,250371185,1.4013e-45,0.559623,1,0
59,10066308,0.0374999,258369148,1.4013e-45,0.5775,1,0
60,67433096,0.251208,201002360,1.4013e-45,0.449275,1,0
61,9952353,0.0370754,258483103,1.4013e-45,0.577755,1,0
62,140173656,0.522188,128261800,1.4013e-45,0.286687,0,0
63,67433101,0.251208,201002355,1.4013e-45,0.449275,1,0
64,11302752,0.042106,257132704,0,0.574736,1,0
65,7020497,0.0261534,261414959,1.4013e-45,0.584308,1,0
66,67433086,0.251208,201002370,1.4013e-45,0.449275,1,0
67,67433115,0.251208,201002341,1.4013e-45,0.449275,1,0
68,67433114,0.251208,201002342,1.4013e-45,0.449275,1,0
69,153706682,0.572602,114728774,0,0.256439,0,0
70,75660295,0.281857,192775161,2.78889e-18,0.430886,1,0
71,9936505,0.0370164,258498951,1.4013e-45,0.57779,1,0
72,40820642,0.152069,227614814,1.4013e-45,0.508759,1,0
73,6216565,0.0231585,262218891,1.4013e-45,0.586105,1,0
74,67433085,0.251208,201002371,1.4013e-45,0.449275,1,0
