now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777442066804239,12,0.486836761,0.512494922,0.599983692,0,8
1777442076804577,11,0.517974496,0.542075753,0.59999305,0,8
1777442086804808,11,0.535474539,0.5587008,0.59999305,0,8
1777442096805084,10,0.534464419,0.557741165,0.59999305,0,8
1777442106805333,10,0.508102536,0.53269738,0.599983692,0,8
1777442116805562,10,0.519859791,0.543866813,0.599983692,0,8
1777442126805806,9,0.49342218,0.518751085,0.599983692,0,8
1777442136806039,9,0.54674232,0.569405258,0.599985957,0,8
1777442146806210,8,0.556201696,0.578391612,0.599985957,0,8
1777442156806424,7,0.524825871,0.54858458,0.599983692,0,8
1777442166806655,7,0.547034264,0.569682598,0.599983692,0,8
1777442176806881,6,0.557476044,0.579602242,0.599983692,0,8
1777442186807157,5,0.560866475,0.582823157,0.599983692,0,8
1777442196807444,5,0.556145549,0.578338265,0.599983692,0,8
1777442206807717,4,0.561896682,0.583801866,0.599983692,0,8
1777442216808007,3,0.553068936,0.575415492,0.599983692,0,8
1777442226808434,3,0.523468852,0.547295392,0.599983692,0,8
