now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777442237388976,12,0.467368066,0.49399966,0.599983692,0,8
1777442247389282,12,0.521877229,0.545783341,0.599983692,0,8
1777442257389498,12,0.474815696,0.50107491,0.599983692,0,8
1777442267389722,12,0.490519345,0.515993416,0.599983692,0,8
1777442277389898,12,0.543894947,0.56670022,0.599983692,0,8
1777442287390194,12,0.502539098,0.527412117,0.599983692,0,8
1777442297390460,12,0.516624391,0.54079318,0.599983692,0,8
1777442307390724,12,0.525781691,0.549492598,0.599983692,0,8
1777442317390954,12,0.518058598,0.542155683,0.599983692,0,8
1777442327391138,12,0.523413539,0.54724288,0.599983692,0,8
1777442337391307,12,0.554810703,0.577070177,0.599983692,0,8
1777442347391631,12,0.537347317,0.560479999,0.599983692,0,8
1777442357391975,12,0.543865442,0.566672146,0.599983692,0,8
1777442367392169,12,0.551431239,0.573859692,0.599983692,0,8
1777442377392389,12,0.54659164,0.569262028,0.599983692,0,8
