variant,budget_enabled,run,benchmark,micros_per_op,ops_per_sec,seconds,mb_per_sec,result_dir
budget_off,0,1,fillrandom,6.703,149183,33.516,148.0,/home/femu/rocksdb/experiments/M2/results/20260429-055153-budget-sensitivity/baseline_budget_off/budget_off/run_1
budget_off,0,1,overwrite,10.787,92700,53.937,91.9,/home/femu/rocksdb/experiments/M2/results/20260429-055153-budget-sensitivity/baseline_budget_off/budget_off/run_1
budget_off,0,1,overwrite,9.125,109591,45.624,108.7,/home/femu/rocksdb/experiments/M2/results/20260429-055153-budget-sensitivity/baseline_budget_off/budget_off/run_1
