now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777442387968223,12,0.402746588,0.43260926,0.599983692,0,8
1777442397968546,11,0.517747283,0.541859925,0.599990726,0,8
1777442407968765,11,0.520018756,0.544017792,0.599990726,0,8
1777442417968967,11,0.518378317,0.542459369,0.599990726,0,8
1777442427969140,10,0.479217589,0.505256712,0.599983692,0,8
1777442437969362,10,0.505879998,0.530586004,0.599983692,0,8
1777442447969553,9,0.548348129,0.570930719,0.599983692,0,8
1777442457969765,9,0.535891235,0.559096694,0.599983692,0,8
1777442467969962,8,0.545271516,0.568007946,0.599983692,0,8
1777442477970129,8,0.549419343,0.571948349,0.599983692,0,8
1777442487970285,7,0.540134251,0.563127577,0.599983692,0,8
1777442497970516,6,0.519439578,0.543467641,0.599983692,0,8
1777442507970778,6,0.531433105,0.554861426,0.599983692,0,8
1777442517970941,6,0.514095545,0.538390756,0.599983692,0,8
1777442527971402,6,0.51001513,0.534514368,0.599983692,0,8
