now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777440757333578,12,0.469965637,0.496467352,0.599983692,0,8
1777440767333808,11,0.484626204,0.510394931,0.599985957,0,8
1777440777333992,11,0.491814762,0.517224014,0.599985957,0,8
1777440787334185,11,0.497688919,0.522804499,0.599983692,0,8
1777440797334411,10,0.474958509,0.50121057,0.599983692,0,8
1777440807334617,10,0.514647722,0.538915336,0.599983692,0,8
1777440817334773,9,0.549962759,0.572464585,0.59998405,0,8
1777440827334949,9,0.510246634,0.534734309,0.599983692,0,8
1777440837335123,8,0.540496171,0.563471377,0.599995434,0,8
1777440847335315,8,0.540639937,0.563607931,0.599995434,0,8
1777440857335526,7,0.52297318,0.546824515,0.599995434,0,8
1777440867335755,6,0.537555516,0.560677707,0.599995434,0,8
1777440877335965,6,0.527684212,0.551299989,0.599995434,0,8
