zone_id,valid_bytes,valid_ratio,invalid_bytes,zvdr_ema,rbd,fragment_class,lifetime_class
0,0,0,268435456,0,0,0,0
1,0,0,268435456,0,0,0,0
2,0,0,268435456,0,0,0,0
3,123825,0.000461284,268311631,1.4013e-45,0.599723,1,0
4,7317,2.72579e-05,268428139,0,0.599984,1,0
5,268433635,0.999993,1821,0,4.07025e-06,0,0
6,110721790,0.412471,157713666,8.21421e-08,0.352518,3,0
7,230477362,0.858595,37958094,1.4013e-45,0.084843,0,0
8,67433104,0.251208,201002352,1.4013e-45,0.449275,1,0
9,268433990,0.999995,1466,0,3.27677e-06,0,0
10,179438942,0.668462,88996514,1.4013e-45,0.198923,0,0
11,268433666,0.999993,1790,0,4.00096e-06,0,0
12,84082596,0.313232,184352860,1.4013e-45,0.412061,1,0
13,268433797,0.999994,1659,0,3.70815e-06,0,0
14,13207995,0.0492036,255227461,1.4013e-45,0.570478,1,0
15,245660845,0.915158,22774611,3.53869e-18,0.0509052,0,0
16,72995546,0.27193,195439910,9.89334e-08,0.436842,3,0
17,239345126,0.89163,29090330,1.3178e-17,0.065022,0,0
18,268433488,0.999993,1968,0,4.39882e-06,0,0
19,195797821,0.729404,72637635,5.96953e-43,0.162358,0,0
20,65319695,0.243335,203115761,0,0.453999,1,0
21,56002184,0.208624,212433272,0,0.474825,1,0
22,154909099,0.577081,113526357,4.25995e-43,0.253751,0,0
23,24144384,0.0899448,244291072,1.4013e-45,0.546033,1,0
24,145607141,0.542429,122828315,1.9478e-16,0.274543,0,0
25,67433085,0.251208,201002371,1.4013e-45,0.449275,1,0
26,97380501,0.362771,171054955,1.4013e-45,0.382338,1,0
27,216172657,0.805306,52262799,1.4013e-45,0.116816,0,0
28,0,0,268435456,0,0,0,0
29,268433605,0.999993,1851,0,4.13731e-06,0,0
30,0,0,268435456,0,0,0,0
31,0,0,268435456,0,0,0,0
32,67433086,0.251208,201002370,1.4013e-45,0.449275,1,0
33,268434189,0.999995,1267,0,2.83197e-06,0,0
34,0,0,268435456,0,0,0,0
35,0,0,268435456,0,0,0,0
36,0,0,268435456,0,0,0,0
37,0,0,268435456,0,0,0,0
38,268433558,0.999993,1898,0,4.24236e-06,0,0
39,119100243,0.443683,149335213,9.56881e-22,0.33379,1,0
40,67433084,0.251208,201002372,1.4013e-45,0.449275,1,0
41,263701416,0.982364,4734040,1.4013e-45,0.0105814,0,0
42,0,0,268435456,0,0,0,0
43,0,0,268435456,0,0,0,0
44,0,0,268435456,0,0,0,0
45,0,0,268435456,0,0,0,0
46,0,0,268435456,0,0,0,0
47,268434277,0.999996,1179,0,2.63527e-06,0,0
48,137798892,0.513341,130636564,2.54398e-15,0.291995,0,0
49,49088173,0.182868,219347283,1.4013e-45,0.490279,1,0
50,268434859,0.999998,597,0,1.3344e-06,0,0
51,0,0,268435456,0,0,0,0
52,223605879,0.832997,44829577,1.71843e-05,0.100209,2,0
53,268435053,0.999998,403,0,9.00775e-07,0,0
54,268434330,0.999996,1126,0,2.51681e-06,0,0
55,268434357,0.999996,1099,0,2.45646e-06,0,0
56,268434027,0.999995,1429,0,3.19406e-06,0,0
57,40314431,0.150183,228121025,0,0.50989,1,0
58,0,0,268435456,0,0,0,0
59,0,0,268435456,0,0,0,0
60,0,0,268435456,0,0,0,0
61,0,0,268435456,0,0,0,0
62,0,0,268435456,0,0,0,0
63,0,0,268435456,0,0,0,0
64,0,0,268435456,0,0,0,0
65,0,0,268435456,0,0,0,0
66,0,0,268435456,0,0,0,0
67,0,0,268435456,0,0,0,0
68,0,0,268435456,0,0,0,0
69,0,0,268435456,0,0,0,0
70,0,0,268435456,0,0,0,0
71,0,0,268435456,0,0,0,0
72,0,0,268435456,0,0,0,0
73,0,0,268435456,0,0,0,0
74,0,0,268435456,0,0,0,0
75,0,0,268435456,0,0,0,0
76,0,0,268435456,0,0,0,0
77,0,0,268435456,0,0,0,0
78,0,0,268435456,0,0,0,0
79,0,0,268435456,0,0,0,0
80,0,0,268435456,0,0,0,0
81,0,0,268435456,0,0,0,0
82,0,0,268435456,0,0,0,0
83,0,0,268435456,0,0,0,0
84,0,0,268435456,0,0,0,0
85,0,0,268435456,0,0,0,0
86,0,0,268435456,0,0,0,0
87,0,0,268435456,0,0,0,0
88,0,0,268435456,0,0,0,0
89,0,0,268435456,0,0,0,0
