now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777431742747071,12,0.498068094,0.52316469,0.599986136,0,8
1777431752747361,11,0.495771855,0.520983279,0.599983692,0,8
1777431762747544,11,0.495077908,0.520324051,0.599983692,0,8
1777431772747670,11,0.510587752,0.535058379,0.599983692,0,8
1777431782747840,10,0.543317318,0.56615144,0.599983692,0,8
1777431792748014,10,0.502923071,0.527776897,0.599983692,0,8
1777431802748233,9,0.517196178,0.541336417,0.599983692,0,8
1777431812748406,9,0.543400943,0.566230893,0.599983692,0,8
1777431822748566,8,0.53889662,0.561951816,0.599983692,0,8
1777431832748717,7,0.53788954,0.560995102,0.599983692,0,8
1777431842748870,7,0.558275938,0.580362141,0.599983692,0,8
1777431852749006,6,0.547177255,0.569818377,0.599983692,0,8
1777431862749153,6,0.529197216,0.552737355,0.599983692,0,8
1777431872749269,5,0.514398217,0.538678288,0.599983692,0,8
1777431882749350,4,0.511156678,0.535598814,0.599983692,0,8
1777431892749506,3,0.510016501,0.534515679,0.599983692,0,8
1777431902749674,3,0.521191955,0.545132339,0.599983692,0,8
1777431912749843,2,0.530319571,0.553803563,0.599983692,0,8
1777431922750057,2,0.505948961,0.53065151,0.599983692,0,8
