now_us,budget,p_frag,avg_rbd,max_rbd,trend_pressure,victim_count
1777428156313708,12,0.487079263,0.512725294,0.599983692,0,8
1777428166313902,11,0.490750432,0.516212881,0.599983692,0,8
1777428176314075,11,0.498335719,0.523418963,0.599983692,0,8
1777428186314218,11,0.497270882,0.522407353,0.599983692,0,8
1777428196314365,10,0.486838967,0.512497008,0.599983692,0,8
1777428206314506,10,0.503507614,0.528332233,0.599983692,0,8
1777428216314664,9,0.527771056,0.551382482,0.599983692,0,8
1777428226314795,9,0.533235312,0.55657357,0.599983692,0,8
1777428236314948,8,0.555133522,0.577376842,0.599983692,0,8
1777428246315108,8,0.547627926,0.570246518,0.599983692,0,8
1777428256315305,7,0.547748446,0.570361018,0.599983692,0,8
1777428266315498,6,0.54009521,0.563090444,0.599983692,0,8
1777428276315680,6,0.535088718,0.558334291,0.599983692,0,8
1777428286315896,5,0.552356303,0.574738503,0.599983692,0,8
1777428296316066,4,0.546656549,0.569323719,0.599983692,0,8
1777428306316241,3,0.554798841,0.577058911,0.599983692,0,8
1777428316316488,3,0.543029428,0.565877974,0.599983692,0,8
1777428326316773,2,0.534950197,0.558202684,0.599983692,0,8
