variant,budget_enabled,run,benchmark,micros_per_op,ops_per_sec,seconds,mb_per_sec,result_dir
budget_on,1,1,fillrandom,7.569,132123,37.843,131.0,/home/femu/rocksdb/experiments/M2/results/20260429-052804-budget-sensitivity/bmin_6_ptarget_0/budget_on/run_1
budget_on,1,1,overwrite,9.363,106800,46.816,105.9,/home/femu/rocksdb/experiments/M2/results/20260429-052804-budget-sensitivity/bmin_6_ptarget_0/budget_on/run_1
budget_on,1,1,overwrite,8.665,115410,43.324,114.5,/home/femu/rocksdb/experiments/M2/results/20260429-052804-budget-sensitivity/bmin_6_ptarget_0/budget_on/run_1
